Animal Name,Animal Type,Description,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBFAMILY,SUBORDER,SUPERFAMILY,SUBCLASS,INFRACLASS,SUPERORDER,CONTINENTS,SUBCONTINENTS,COUNTRIES,BIOGEOGRAPHICAL REALMS,WWF BIOMES,INTRODUCED COUNTRIES,OCEANS,REGIONS,Distribution Info,Population threats,Population number,Ecological niche,Conservation,POPULATION TREND,POPULATION STATUS
Philippine swamphen,,"Philippine swamphen (Porphyrio pulverulentus Temminck, 1826) is a species of swamphen occurring in The Philippines. It used to be considered a subspecies of the purple swamphen, which it resembles, but has olive-chestnut mantle and scapulars, and the whole plumage is tinged with ash-grey.",Animalia,Chordata,Vertebrata,Aves,Columbiformes,Rallidae,Porphyrio,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Endangered (EN)
Philippine green pigeon,,The Philippine green pigeon (Treron axillaris ) is a pigeon in the genus Treron. It is found in the forests of the Philippines. Many authorities split the species from the pompadour green pigeon complex.,Animalia,Chordata,Vertebrata,Aves,Coraciiformes,Columbidae,Treron,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Spotted wood kingfisher,Spotted kingfisher,The spotted wood kingfisher or spotted kingfisher (Actenoides lindsayi ) is a species of bird in the family Alcedinidae. It is endemic to the Philippines where its natural habitat is subtropical or tropical moist lowland forests.,Animalia,Chordata,Vertebrata,Aves,Psittaciformes,Alcedinidae,Actenoides,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Critically endangered (CR)
Camiguin hanging parrot,,"The Camiguin hanging parrot (Loriculus camiguinensis ) is a hanging parrot endemic to the Philippine island of Camiguin, where its habitat is diminishing. The taxonomy of this population of parrots on Camiguin is uncertain.",Animalia,Chordata,Vertebrata,Aves,Columbiformes,Psittacidae,Loriculus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,
Mindoro imperial pigeon,,"The Mindoro imperial pigeon (Ducula mindorensis ), also known as Mindoro Zone-tailed pigeon (Zonophaps mindorensis ), Great Mindoro pigeon or Pink-throated Imperial pigeon, is a bird species in the family Columbidae. It is endemic to the mountains of Mindoro in central Philippines and is the largest pigeon in the country reaching 50cm in length.
It is classified as being Endangered according to the IUCN Red List. Its main threats are habitat loss and hunting. IUCN estimates the population to be 600 to 1,700 remaining mature individuals.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Bucerotiformes,Columbidae,Ducula,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Writhed hornbill,Mindanao wrinkled hornbill,"The writhed hornbill (Rhabdotorrhinus leucocephalus ), also known as the Mindanao wrinkled hornbill, is a species of hornbill in the family Bucerotidae.It is endemic to humid forests on the Philippine islands of Mindanao, Dinagat and Camiguin Sur. It formerly included the Walden's hornbill as a subspecies, but unlike that species, both sexes of the writhed hornbill have orange-red throat and peri-ocular skin.
The writhed hornbill is threatened by habitat loss and hunting.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Bucerotidae,Rhabdotorrhinus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Isabela oriole,,"The Isabela oriole (Oriolus isabellae ) is a species of the oriole family endemic to Luzon in the Philippines. The bird was presumed to be extinct for many years until its rediscovery in December 1993 near Diffun, Quirino, and in Mansarong in September 1994. Additional sightings were made in San Mariano, Isabela. and Baggao, Cagayan Valley It It is found in moist lowland forest up to 440 masl. It is threatened by habitat loss and hunting.",Animalia,Chordata,Vertebrata,Aves,,Oriolidae,Oriolus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
,,,,,Vertebrata,,Passeriformes,,,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Unknown,Endangered (EN)
Philippine oriole,Grey-throated oriole,"The Philippine oriole (Oriolus steerii ) or grey-throated oriole is a species of bird in the family Oriolidae.It is endemic to the Philippines.
Its natural habitat is subtropical or tropical moist lowland forests. The species is fairly common throughout its range, but the Cebu race (O. s. assimilis ) was last sighted in 1906 and is now classified as extinct.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Oriolidae,Oriolus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
White-fronted tit,,The white-fronted tit (Sittiparus semilarvatus ) is a species of bird in the family Paridae.It is endemic to the Philippines found in the islands of Luzon and Mindanao. Its natural habitat is tropical moist lowland forests.It is threatened by habitat loss.,Animalia,Chordata,Vertebrata,Aves,Cuculiformes,Paridae,Sittiparus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Unknown,Endangered (EN)
Scale-feathered malkoha,,The scale-feathered malkoha (Dasylophus cumingi ) is a species of cuckoo in the family Cuculidae.It is endemic to the northern Philippines.,Animalia,Chordata,Vertebrata,Aves,Psittaciformes,Cuculidae,Lepidogrammus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Green racket-tail,,"The green racket-tail (Prioniturus luconensis ) is an endemic parrot of the Philippines where it is found on Luzon and Marinduque. This species was once common, but is rapidly declining and is currently classified as endangered due to lowland deforestation and capture for cage-bird trade. The population is now estimated to be just 1,000 - 2,499 mature individuals and is continuing to decline with many local extinctions in its former range.",Animalia,Chordata,Vertebrata,Aves,Bucerotiformes,Psittacidae,Prioniturus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Data deficient (DD)
Mindanao hornbill,Mindanao tarictic hornbill,"The Mindanao hornbill (Penelopides affinis ), sometimes called the Mindanao tarictic hornbill, is a medium-small species of hornbill found in the canopy of rainforests on Mindanao, Dinagat, Siargao and Basilan in the southern Philippines. As is the case with all Philippine tarictic hornbills, it has been considered a subspecies of P. panini. The Samar hornbill is often included as a subspecies of the Mindanao hornbill.",Animalia,Chordata,Vertebrata,Aves,Columbiformes,Bucerotidae,Penelopides,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Tawitawi brown dove,,"The Tawitawi brown dove (Phapitreron cinereiceps ) is a threatened species of bird in the family Columbidae noted for its orange-peach breast. It is endemic to forests in the Sulu Archipelago (islands of Tawi-Tawi and Sanga-Sanga) in the Philippines. Until recently it was considered conspecific with the Mindanao brown dove and collectively called the dark-eared brown dove. Although threatened by habitat loss, the rate of loss significantly reduced from 2004 to 2007, and it was thus downlisted from Critically Endangered to Endangered status in the 2007 IUCN Red List.",Animalia,Chordata,Vertebrata,Aves,Columbiformes,Columbidae,Phapitreron,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Pink-bellied imperial pigeon,"Zone-tailed pigeon,","The pink-bellied imperial pigeon (Ducula poliocephala ), also known as the zone-tailed pigeon, is found in the Philippines. It is a large fruit-eating bird reaching sizes of up to 42cm long.
The pink-bellied imperial pigeon is mostly dark green, with a pale gray head, an appropriately pink belly, and a brown, black, and gray pattern on its tail. Its eyes and eye ceres are red. These birds have been observed in mixed roosts with other large doves.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Charadriiformes,Columbidae,Ducula,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
Worcester's buttonquail,Luzon buttonquail,"Worcester's buttonquail (Turnix worcesteri ) or the Luzon buttonquail, is a species of bird in the family Turnicidae. It is endemic to the island of Luzon in the Philippines. Its natural habitat is subtropical or tropical high-altitude grassland. It is locally known as ""Pugo"". It is a cryptic species and not easy to observe and is listed as ""Data Deficient"" by the IUCN.
It is named after American manager and zoologist Dean Conant Worcester (1866-1924).
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Turnicidae,Turnix,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
White-cheeked bullfinch,,"The white-cheeked bullfinch (Pyrrhula leucogenis ) is a species of finch in the family Fringillidae.
It is found in mountain regions of the Philippines, mainly on the two largest Philippine islands, Luzon and Mindanao. It has also been reported on the island of Panay. Its natural habitat is subtropical or tropical moist montane forests. The bird's conservation status is 'least concern', although it is uncommon and has a very restricted range.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Fringillidae,Pyrrhula,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Balicassiao,,"The balicassiao (Dicrurus balicassius ) is a species of passerine bird in the family Dicruridae.It is endemic to the Philippines.
Its natural habitat is subtropical or tropical moist lowland forests.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Dicruridae,Dicrurus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Endangered (EN)
Visayan broadbill,,"The Visayan broadbill (Sarcophanops samarensis ) is a species of bird in the family Eurylaimidae where it was previously conspecific with the wattled broadbill. It is endemic to the islands of Samar, Leyte and Bohol in the central Philippines. Its natural habitat is tropical moist lowland forests. It is threatened by habitat loss.",Animalia,Chordata,Vertebrata,Aves,Cuculiformes,Eurylaimidae,Sarcophanops,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
Rough-crested malkoha,,The rough-crested malkoha (Dasylophus superciliosus ) is a species of cuckoo in the family Cuculidae. It is endemic to Luzon Island in the Philippines. Its natural habitat is tropical moist lowland forest.,Animalia,Chordata,Vertebrata,Aves,Cuculiformes,Cuculidae,Dasylophus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Philippine drongo-cuckoo,,"The Philippine drongo-cuckoo (Surniculus velutinus ) is a bird of the cuckoo family found only in the Philippines. It belongs to the genus Surniculus along with the Asian drongo-cuckoo (S. lugubris ). The two were previously classified as a single species but are now often separated based on differences in calls and juvenile plumage.
It is 23 centimetres (9.1 in) long. The black bill is slender and curved and the tail is fairly long and slightly forked. The plumage is mostly glossy blue-black apart from a white bar on the underwing and white marks on the thigh feathers and on the underside of the tail. Young birds are duller than the adults but otherwise similar unlike young Asian drongo-cuckoos which are spotted white. The call is a repeated series of 8 or 9 ascending notes.
It inhabits the canopy and middle storey of lowland forest. It is usually shy and solitary. There are two subspecies: S. v. velutinus on Mindanao, Samar, Leyte, Bohol and the Sulu Archipelago and S. v. chalybaeus on Luzon, Mindanao and Negros. On Palawan, the species is replaced by Asian drongo-cuckoos of the race minimus.
Little is known about its breeding habits. It is likely to be a brood parasite laying its eggs in the nests of other birds but its host species are unknown.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Cuculidae,Surniculus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Endangered (EN)
Flame-templed babbler,,"The flame-templed babbler (Dasycrotapha speciosa ) is a species of bird of the family Zosteropidae, in the genus Dasycrotapha. It is one of the most remarkable and distinctive birds with its complex head markings with orange crown tufts, black ears and yellow beak and face. It is endemic to the Philippines, where it is found on the islands of Panay and Negros. Its natural habitat is tropical moist lowland forest. It is threatened by habitat loss. Along with the Negros striped babbler, it is one of the two babbler species extremely sought after by birdwatchers on Negros.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Zosteropidae,Dasycrotapha,,,,,,,Asia,,Philippines,Malaysia,,,,,,,,,,Decreasing,Least concern (LC)
Green-faced parrotfinch,,"The green-faced parrotfinch (Erythrura viridifacies ) is a species of estrildid finch found in northern Philippines, on Luzon, Mindoro, Panay, Negros and Cebu islands. Its local name is mayang-kawayan in Tagalog.",Animalia,Chordata,Vertebrata,Aves,Apodiformes,Estrildidae,Erythrura,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Philippine swiftlet,,"The Philippine swiftlet (Aerodramus mearnsi ) is a species of swift in the family Apodidae. It is endemic to the Philippines.
Its natural habitats are subtropical or tropical dry forests, subtropical or tropical moist lowland forests, and subtropical or tropical moist montane forests.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Strigiformes,Apodidae,Aerodramus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Cebu hawk-owl,Cebu boobook,"The Cebu hawk-owl (Ninox rumseyi ) or Cebu boobook, is a species of owl in the family Strigidae. It is endemic to the Philippines. It was formerly considered a subspecies of the Philippine hawk-owl, but was reclassified in 2012, as voice and other data suggested placement as a distinct species.",Animalia,Chordata,Vertebrata,Aves,Apodiformes,Strigidae,Ninox,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Vulnerable (VU)
Pygmy swiftlet,,"The pygmy swiftlet (Collocalia troglodytes ) is a species of swift in the family Apodidae. It is endemic to the Philippines.
Its natural habitat is subtropical or tropical moist lowland forests. At under 9 cm (3.5 in), it is the world's smallest swift. It weighs only 5 grams.
Swiftlets that nest in complete darkness in caves can use echolocation, the ability to position an object by reflected sound, used by other animals such as dolphins and bats.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Columbiformes,Apodidae,Collocalia,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
